T,P_plus,P_minus,e_plus,e_minus,w_plus,w_minus,s_plus,s_minus
83.6946446609963,626072050.981307,630072883.908917,1651931937.21073,1599392839.35572,2278003988.19204,2229465723.26464,27218037.6387433,26638092.9453827
83.8791761137407,631111475.668826,635005242.639122,1667236304.88072,1614653922.52499,2298347780.54954,2249659165.16411,27400695.7034891,26820234.4061014
84.063707566485,636184681.420884,639971288.645277,1682642741.30386,1630018328.02815,2318827422.72474,2269989616.67343,27584167.8911156,27003206.0511952
84.2482390192294,641291818.844943,644971175.466275,1698151704.31974,1645486518.49552,2339443523.16468,2290457693.96179,27768456.0645623,27187009.7314403
84.4327704719738,646433038.814956,650005056.760344,1713763654.10951,1661058954.0795,2360196692.92447,2311064010.83984,27953562.1052777,27371647.2639047
84.6173019247182,651608492.220081,655073086.501214,1729479050.77112,1676736094.52089,2381087542.9912,2331809181.0221,28139487.8931788,27557120.4493677
84.8018333774626,656818330.449502,660175419.200544,1745298351.56219,1692518398.8587,2402116682.01169,2352693818.05924,28326235.2565781,27743431.0608355
84.986364830207,662062705.49786,665312209.437765,1761222010.30111,1708406326.14058,2423284715.79897,2373718535.57835,28513805.9613023,27930580.8689752
85.1708962829513,667341769.396114,670483612.220884,1777250480.6,1724400337.57948,2444592249.99612,2394883949.80037,28702201.7694303,28118571.6548735
85.3554277356957,672655674.341278,675689783.034428,1793384216.77085,1740500896.79585,2466039891.11212,2416190679.83027,28891424.4454872,28307405.2112028
85.5399591884401,678004573.287292,680930877.424092,1809623676.31586,1756708467.49141,2487628249.60315,2437639344.91551,29081475.7651491,28497083.3294473
85.7244906411845,683388619.403653,686207051.435804,1825969317.64578,1773023512.75438,2509357937.04943,2459230564.19018,29272357.5072675,28687607.7763619
85.9090220939289,688807965.881649,691518461.479933,1842421599.29588,1789446495.22594,2531229565.17753,2480964956.70587,29464071.4513721,28878980.3006844
86.0935535466732,694262766.44734,696865264.058338,1858980982.85882,1805977880.7123,2553243749.30616,2502843144.77064,29656619.393648,29071202.6847842
